h,b_ly,se_ly,b_lg,se_lg,b_taul,se_taul,b_tauk,se_tauk,b_lb,se_lb,b_tauc,se_tauc,b_taup,se_taup
0,0.3053788245,0.0439751558,0.5530299544,0.1736578792,0.0025045185,0.0170905665,0.2355749458,0.0168013629,0.0637934953,0.0980596617,0.0162716806,0.0033198954,-0.0002615694,0.0182053745
1,0.5389419794,0.0373176597,2.0908944607,0.2963089645,0.0649256632,0.0226190314,0.2859914303,0.0247261971,0.3371049166,0.1689269245,0.0110931946,0.0061303703,0.0660117492,0.0219113398
2,0.5805078745,0.0722353756,2.3604443073,0.3908661604,0.1550950557,0.0285789650,0.2062603235,0.0660515353,1.3841571808,0.4016745687,0.0074277613,0.0031413853,0.1013367251,0.0456499942
3,0.5519838929,0.0830550268,1.7590397596,0.3835034072,0.1463488340,0.0329487436,0.1636493504,0.0252674296,1.8618100882,0.4921829104,0.0159685258,0.0042488249,0.0470840968,0.0271903444
4,0.1649667621,0.1126469895,0.3295412660,0.3288519979,0.1070863083,0.0366278850,-0.0314708352,0.0364284962,1.7173713446,0.5571587682,0.0133922501,0.0071142758,0.0148675209,0.0344321840
5,-0.1058524549,0.1381335855,-1.9569348097,0.6687721610,0.0771778747,0.0384692922,-0.0763737634,0.0510383658,0.6252818704,0.3673515618,0.0067266575,0.0030402038,-0.0199217871,0.0246805493
6,-0.3005794287,0.1685709953,-2.5220105648,0.6302419901,0.0400564075,0.0298782457,-0.0159988981,0.0357455835,-0.5818355680,0.3580692708,-0.0116312746,0.0036982109,-0.0053165271,0.0233712457
7,-0.1924803406,0.1076401249,-1.5730931759,0.4780118465,-0.0118921483,0.0368636176,-0.0428852402,0.0387946777,-1.2204110622,0.3825027049,-0.0169126932,0.0029447365,-0.0923776031,0.0289697163
8,-0.1452288032,0.0575253405,-0.3398474455,0.2991702259,-0.0293301325,0.0398398563,-0.0423473641,0.0375501066,-1.0923719406,0.2682839632,-0.0181498732,0.0051562912,-0.0580797791,0.0243970267
9,0.1467256993,0.0632399395,0.3180830777,0.2588908970,-0.0175373442,0.0369594432,0.1698202491,0.0286842138,-0.8549456596,0.2319168895,-0.0060322899,0.0077221934,-0.0633480698,0.0337722488
10,0.1911866367,0.1154785082,0.9707949162,0.4363110662,0.0359236151,0.0214497559,0.1968633682,0.0617702454,-0.9152825475,0.2328039706,0.0021245820,0.0025831207,-0.0172745269,0.0234773830
